date,ticker,close,adj_close,volume,source
1999-01-22 00:00:00-05:00,NVDA,0.03760698065161705,0.03760698065161705,2714688000,yfinance
1999-01-25 00:00:00-05:00,NVDA,0.041546814143657684,0.041546814143657684,510480000,yfinance
1999-01-26 00:00:00-05:00,NVDA,0.03832307457923889,0.03832307457923889,343200000,yfinance
1999-01-27 00:00:00-05:00,NVDA,0.038203854113817215,0.038203854113817215,244368000,yfinance
1999-01-28 00:00:00-05:00,NVDA,0.038083743304014206,0.038083743304014206,227520000,yfinance
1999-01-29 00:00:00-05:00,NVDA,0.03629307076334953,0.03629307076334953,244032000,yfinance
1999-02-01 00:00:00-05:00,NVDA,0.037010081112384796,0.037010081112384796,154704000,yfinance
1999-02-02 00:00:00-05:00,NVDA,0.0341448076069355,0.0341448076069355,264096000,yfinance
1999-02-03 00:00:00-05:00,NVDA,0.03486090525984764,0.03486090525984764,75120000,yfinance
1999-02-04 00:00:00-05:00,NVDA,0.036770764738321304,0.036770764738321304,181920000,yfinance
1999-02-05 00:00:00-05:00,NVDA,0.037845369428396225,0.037845369428396225,136848000,yfinance
1999-02-08 00:00:00-05:00,NVDA,0.036532387137413025,0.036532387137413025,154080000,yfinance
1999-02-09 00:00:00-05:00,NVDA,0.03509928658604622,0.03509928658604622,86976000,yfinance
1999-02-10 00:00:00-05:00,NVDA,0.034741707146167755,0.034741707146167755,148224000,yfinance
1999-02-11 00:00:00-05:00,NVDA,0.03772616758942604,0.03772616758942604,132240000,yfinance
1999-02-12 00:00:00-05:00,NVDA,0.039875343441963196,0.039875343441963196,109728000,yfinance
1999-02-16 00:00:00-05:00,NVDA,0.04011373594403267,0.04011373594403267,211008000,yfinance
1999-02-17 00:00:00-05:00,NVDA,0.037964556366205215,0.037964556366205215,67728000,yfinance
1999-02-18 00:00:00-05:00,NVDA,0.03856145218014717,0.03856145218014717,70704000,yfinance
1999-02-19 00:00:00-05:00,NVDA,0.039875343441963196,0.039875343441963196,75360000,yfinance
1999-02-22 00:00:00-05:00,NVDA,0.04011373594403267,0.04011373594403267,205248000,yfinance
1999-02-23 00:00:00-05:00,NVDA,0.04202359914779663,0.04202359914779663,138096000,yfinance
1999-02-24 00:00:00-05:00,NVDA,0.04536658152937889,0.04536658152937889,612768000,yfinance
1999-02-25 00:00:00-05:00,NVDA,0.043934404850006104,0.043934404850006104,149136000,yfinance
1999-02-26 00:00:00-05:00,NVDA,0.04190441220998764,0.04190441220998764,172608000,yfinance
1999-03-01 00:00:00-05:00,NVDA,0.04214373975992203,0.04214373975992203,92160000,yfinance
